droughtDate,droughtLvl,areaPct,fireName,county,acres,fireDate,countyList,countyCount
28/07/2020,D2,21.5,Parker 2,Modoc,"7,697",03/08/2017,,
28/07/2020,D3,3.04,Young,Siskiyou,"2,500",07/08/2017,,
28/07/2020,D4,0,South Fork,Mariposa,"7,000",13/08/2017,,
21/07/2020,D0,59.66,Blaine,Riverside,"1,044",13/08/2017,,
21/07/2020,D1,48.21,Eclipse Complex,Siskiyou,"78,698",15/08/2017,,
21/07/2020,D2,21.5,Pier,Tulare,"36,556",29/08/2017,,
21/07/2020,D3,3.04,Railroad,Madera,"12,407",29/08/2017,,
21/07/2020,D4,0,Ponderosa,Butte,"4,016",29/08/2017,,
14/07/2020,D0,59.62,Mud,Lassen,"6,042",29/08/2017,,
14/07/2020,D1,48.19,Slinkard,Mono,"8,925",29/08/2017,,
14/07/2020,D2,21.5,Helena,Trinity,"21,846",30/08/2017,,
14/07/2020,D3,2.45,La Tuna,Los Angeles,"7,194",01/09/2017,,
14/07/2020,D4,0,Palmer,Riverside,"3,874",02/09/2017,,
07/07/2020,D0,58.21,Mission,Madera,"1,035",03/09/2017,,
07/07/2020,D1,46.74,Buck,Trinity,"13,417",12/09/2017,,
07/07/2020,D2,20.84,Lion,Tulare,"18,900",24/09/2017,,
07/07/2020,D3,2.45,Canyon,Riverside,"2,662",25/09/2017,,
07/07/2020,D4,0,Cherokee,Butte,"8,417",08/10/2017,,
30/06/2020,D0,58.21,Atlas,Napa,"51,624",08/10/2017,,
30/06/2020,D1,46.74,Tubbs,Napa,"36,807",08/10/2017,,
30/06/2020,D2,20.84,Nuns,Sonoma,"56,556",08/10/2017,,
30/06/2020,D3,2.45,Redwood Valley,Mendocino,"36,523",08/10/2017,,
30/06/2020,D4,0,La Porte,Butte,"6,151",09/10/2017,,
23/06/2020,D0,58.21,Cascade,Yuba,"9,989",09/10/2017,,
23/06/2020,D1,46.74,Sulphur,Lake,"2,207",09/10/2017,,
23/06/2020,D2,20.84,Canyon 2,Orange,"9,217",09/10/2017,,
23/06/2020,D3,2.45,37,Sonoma,"1,660",09/10/2017,,
23/06/2020,D4,0,Pocket,Sonoma,"17,357",09/10/2017,,
16/06/2020,D0,58.21,Lobo,Nevada,821,09/10/2017,,
